Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
E14 0AW,Yes,51.508762,-0.014904,537859,180738,TQ378807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",65,18,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.209565,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+G2,47600
E14 0AX,Yes,51.509,-0.011969,538062,180770,TQ380807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",50,12,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,6,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00021236,E14000882,6380,1,0,2020-02-19,"All Saints",0.170269,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+J6,68500
E14 0AY,Yes,51.509233,-0.011915,538065,180796,TQ380807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",20,8,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,6,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00021236,E14000882,6380,1,0,2020-02-19,"All Saints",0.146685,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+M6,68500
E14 0AZ,Yes,51.508963,-0.011394,538102,180767,TQ381807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",29,11,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00167143,E14000882,6380,1,0,2020-02-19,"All Saints",0.188539,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+HC,68500
E14 0BA,Yes,51.508895,-0.011094,538123,180760,TQ381807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",80,22,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00167143,E14000882,6380,1,0,2020-02-19,"All Saints",0.205205,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+HH,68500
E14 0BB,Yes,51.508606,-0.010935,538135,180728,TQ381807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",34,16,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00167180,E14000882,6380,1,0,2020-02-19,"All Saints",0.238496,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+CJ,68500
E14 0BD,Yes,51.51353,-0.001755,538757,181293,TQ387812,"Greater London","Tower Hamlets","Lansbury",E09000030,E05009325,England,E11000009,"Poplar and Limehouse",2004-05-01,,"Tower Hamlets, unparished area","",98,30,"Greater London","Tower Hamlets","Tower Hamlets 018A","Urban major conurbation",London,5,2,E01004245,,E02000881,"Tower Hamlets 018",E43000220,E00021369,E14000882,2763,1,0,2020-02-19,"East India",0.540166,E,E14,"Metropolitan Police","Thames Water",9C3XGX7X+C7,45000
E14 0BE,Yes,51.508931,-0.009997,538199,180766,TQ381807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",41,12,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00167143,E14000882,6380,1,0,2020-02-19,"Blackwall",0.226741,E,E14,"Metropolitan Police","Thames Water",9C3XGX5R+H2,68500
E14 0BF,Yes,51.509518,-0.017581,537671,180817,TQ376808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",2005-01-01,,"Tower Hamlets, unparished area","",,,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,8,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021400,E14000882,6674,1,0,2020-02-19,"Poplar",0.215492,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+RX,47600
E14 0BG,Yes,51.508634,-0.01161,538088,180730,TQ380807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1998-12-01,,"Tower Hamlets, unparished area","",110,52,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00021236,E14000882,6380,1,0,2020-02-19,"All Saints",0.21648,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+F9,68500
E14 0BH,Yes,51.509071,-0.014041,537918,180774,TQ379807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",65,26,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,8,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021426,E14000882,6674,1,0,2020-02-19,"All Saints",0.184386,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+J9,47600
E14 0BL,Yes,51.507795,-0.015134,537846,180630,TQ378806,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1991-09-01,,"Tower Hamlets, unparished area","",,,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,6,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.149885,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+4W,47600
E14 0BN,Yes,51.508653,-0.009548,538231,180736,TQ382807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",2008-11-01,,"Tower Hamlets, unparished area","",184,72,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00167180,E14000882,6380,1,0,2020-02-19,"Blackwall",0.184171,E,E14,"Metropolitan Police","Thames Water",9C3XGX5R+F5,68500
E14 0BP,Yes,51.51088,-0.015706,537797,180972,TQ377809,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",100,40,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021400,E14000882,6674,1,0,2020-02-19,"All Saints",0.217739,E,E14,"Metropolitan Police","Thames Water",9C3XGX6M+9P,47600
E14 0BQ,Yes,51.508583,-0.010157,538189,180727,TQ381807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",2009-04-01,,"Tower Hamlets, unparished area","",95,34,"Greater London","Tower Hamlets","Tower Hamlets 028B","Urban major conurbation",London,5,2,E01004219,,E02000891,"Tower Hamlets 028",E43000220,E00167180,E14000882,6380,1,0,2020-02-19,"Blackwall",0.218651,E,E14,"Metropolitan Police","Thames Water",9C3XGX5Q+CW,68500
E14 0BS,Yes,51.510502,-0.017713,537659,180926,TQ376809,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",20,7,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,8,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021400,E14000882,6674,1,0,2020-02-19,"Poplar",0.325207,E,E14,"Metropolitan Police","Thames Water",9C3XGX6J+6W,47600
E14 0BT,Yes,51.509709,-0.018235,537625,180837,TQ376808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",134,42,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021419,E14000882,6674,1,0,2020-02-19,"Poplar",0.244842,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+VP,47600
E14 0BU,Yes,51.509709,-0.018235,537625,180837,TQ376808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",125,30,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021419,E14000882,6674,1,0,2020-02-19,"Poplar",0.244842,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+VP,47600
E14 0BW,Yes,51.516011,-0.007512,538350,181558,TQ383815,"Greater London","Tower Hamlets","Lansbury",E09000030,E05009325,England,E11000009,"Poplar and Limehouse",2011-05-01,,"Tower Hamlets, unparished area","",,,"Greater London","Tower Hamlets","Tower Hamlets 018D","Urban major conurbation",London,6,2,E01004249,,E02000881,"Tower Hamlets 018",E43000220,E00167234,E14000882,3447,1,0,2020-02-19,"Langdon Park",0.620914,E,E14,"Metropolitan Police","Thames Water",9C3XGX8R+CX,45000
E14 0BX,Yes,51.509158,-0.01813,537634,180776,TQ376807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",116,39,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,6,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021419,E14000882,6674,1,0,2020-02-19,"Poplar",0.184189,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+MP,47600
E14 0BY,Yes,51.508299,-0.018902,537583,180679,TQ375806,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1996-06-01,,"Tower Hamlets, unparished area","",48,23,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021398,E14000882,5676,1,0,2020-02-19,"Poplar",0.13746,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+8C,47600
E14 0DA,Yes,51.509309,-0.01906,537569,180791,TQ375807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",70,24,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,6,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021419,E14000882,6674,1,0,2020-02-19,"Poplar",0.227598,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+P9,47600
E14 0DB,Yes,51.509779,-0.018693,537593,180844,TQ375808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",139,35,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021414,E14000882,5676,1,0,2020-02-19,"Poplar",0.262454,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+WG,47600
E14 0DD,Yes,51.509779,-0.018693,537593,180844,TQ375808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",69,19,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021414,E14000882,5676,1,0,2020-02-19,"Poplar",0.262454,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+WG,47600
E14 0DE,Yes,51.510145,-0.019501,537536,180883,TQ375808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",1,1,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021414,E14000882,5676,1,0,2020-02-19,"Poplar",0.323138,E,E14,"Metropolitan Police","Thames Water",9C3XGX6J+35,47600
E14 0DF,Yes,51.510448,-0.019414,537541,180917,TQ375809,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",55,19,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021414,E14000882,5676,1,0,2020-02-19,"Poplar",0.350525,E,E14,"Metropolitan Police","Thames Water",9C3XGX6J+56,47600
E14 0DG,Yes,51.510632,-0.020199,537486,180936,TQ374809,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",167,53,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021400,E14000882,6674,1,0,2020-02-19,"Poplar",0.394066,E,E14,"Metropolitan Police","Thames Water",9C3XGX6H+7W,47600
E14 0DH,Yes,51.510212,-0.020361,537476,180889,TQ374808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",138,33,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021414,E14000882,5676,1,0,2020-02-19,"Poplar",0.361318,E,E14,"Metropolitan Police","Thames Water",9C3XGX6H+3V,47600
E14 0DJ,Yes,51.509309,-0.01906,537569,180791,TQ375807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",24,11,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,6,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021419,E14000882,6674,1,0,2020-02-19,"Poplar",0.227598,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+P9,47600
E14 0DL,Yes,51.50908,-0.020439,537474,180763,TQ374807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",100,30,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021398,E14000882,5676,1,0,2020-02-19,"West India Quay",0.257694,E,E14,"Metropolitan Police","Thames Water",9C3XGX5H+JR,47600
E14 0DN,Yes,51.508818,-0.020349,537481,180734,TQ374807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",162,53,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,8,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021398,E14000882,5676,1,0,2020-02-19,"West India Quay",0.22896,E,E14,"Metropolitan Police","Thames Water",9C3XGX5H+GV,47600
E14 0DQ,Yes,51.510382,-0.021391,537404,180906,TQ374809,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",22,12,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021417,E14000882,5676,1,0,2020-02-19,"Westferry",0.350972,E,E14,"Metropolitan Police","Thames Water",9C3XGX6H+5C,47600
E14 0DR,Yes,51.509004,-0.019102,537567,180757,TQ375807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",25,8,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,6,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021398,E14000882,5676,1,0,2020-02-19,"Poplar",0.201774,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+J9,47600
E14 0DT,Yes,51.508637,-0.019219,537560,180716,TQ375807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1996-06-01,,"Tower Hamlets, unparished area","",50,10,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021398,E14000882,5676,1,0,2020-02-19,"Poplar",0.177913,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+F8,47600
E14 0DY,Yes,51.509702,-0.020498,537468,180832,TQ374808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",78,29,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,6,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021417,E14000882,5676,1,0,2020-02-19,"Poplar",0.323804,E,E14,"Metropolitan Police","Thames Water",9C3XGX5H+VR,47600
E14 0DZ,Yes,51.509719,-0.022054,537360,180831,TQ373808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",76,35,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,6,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021417,E14000882,5676,1,0,2020-02-19,"Westferry",0.295386,E,E14,"Metropolitan Police","Thames Water",9C3XGX5H+V5,47600
E14 0EA,Yes,51.511395,-0.013709,537934,181033,TQ379810,"Greater London","Tower Hamlets","Lansbury",E09000030,E05009325,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",2,2,"Greater London","Tower Hamlets","Tower Hamlets 020C","Urban major conurbation",London,8,2,E01004247,,E02000883,"Tower Hamlets 020",E43000220,E00167231,E14000882,3824,1,0,2020-02-19,"All Saints",0.126604,E,E14,"Metropolitan Police","Thames Water",9C3XGX6P+HG,41700
E14 0EB,Yes,51.511383,-0.015165,537833,181029,TQ378810,"Greater London","Tower Hamlets","Lansbury",E09000030,E05009325,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",,,"Greater London","Tower Hamlets","Tower Hamlets 020B","Urban major conurbation",London,8,2,E01004244,,E02000883,"Tower Hamlets 020",E43000220,E00021379,E14000882,3416,1,1,2020-02-19,"All Saints",0.202475,E,E14,"Metropolitan Police","Thames Water",9C3XGX6M+HW,41700
